"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"5S_rRNA" 1.46009399434518 -0.437765918779455 3.8185630204655 -0.114641533067088 0.908729258089705 NA
"A1BG" 197.624663187205 0.844484051401113 0.520637842283314 1.62201819156582 0.104799453070645 0.642199612974353
"A1CF" 40.6240560678451 -1.2062444841892 1.23443422929014 -0.977163833898913 0.328488049589229 0.921178510687272
"A2M" 10990.232162607 -0.0239709294606418 0.640381224963156 -0.0374322802203031 0.970140334805085 0.999333640143859
"A2ML1" 81.1519012829069 0.27050422705455 0.718976165936906 0.376235318874656 0.706741960418942 0.999333640143859
"A2MP1" 50.2197819529279 -0.538894797624067 1.51073525058133 -0.356710282239525 0.721308707175153 0.999333640143859
"A3GALT2" 0.495841465275867 -2.36314761313526 5.52640026414384 -0.427610650728239 0.668934610362125 NA
"A4GALT" 779.469636944757 -0.747293958210645 0.897821542649345 -0.832341309170958 0.405216319877381 0.957913421240516
"A4GNT" 5.74617641620069 -0.585473200850239 3.27125988465419 -0.178974835841308 0.857957460733471 NA
"AAAS" 171.110617707173 3.1747005827504 1.30020669180779 2.4416891581571 0.0146187276580408 0.251559195628354
"AACS" 826.572083108544 -0.306761476084119 0.39251692194739 -0.781524206809192 0.434494245156925 0.966868218983104
"AACSP1" 25.4490032484527 -0.583486014132334 1.79555557542756 -0.324961266650514 0.745210386813144 NA
"AADAC" 2.47920461335247 -0.723746105445806 3.79865278369728 -0.190527049103281 0.848896149256165 NA
"AADACL2" 46.6117845591094 1.86989097439683 1.90029441638143 0.984000667621552 0.325115184643022 0.92031690876991
"AADACL3" 8.65255166901759 0.268236254465889 2.55208101143545 0.105104913701394 0.916292560333175 NA
"AADACL4" 0 NA NA NA NA NA
"AADACP1" 37.5551707048649 -1.2725275757461 1.33753229798191 -0.951399512121023 0.34140160790978 0.928298369424593
"AADAT" 67.8689009436521 0.620895755123198 0.95490866015766 0.65021481219019 0.515553474499606 0.985860599568467
"AAGAB" 557.04168743552 -0.299432799112767 0.503654999062921 -0.594519660620621 0.552164596451008 0.993174481375605
"AAK1" 2354.48632042862 -0.355259402037048 0.473460737645697 -0.750346066293882 0.453046304773955 0.975164246123169
"AAMDC" 229.166713670189 0.65170732248134 0.629864729488643 1.03467822846729 0.300819206856965 0.901782405370434
"AAMP" 386.521868437603 0.335312021060797 1.0378164675279 0.323093756509296 0.746624238498082 0.999333640143859
"AANAT" 10.5480118011982 0.6003027189227 2.53096685649739 0.237183160807352 0.812514699366215 NA
"AAR2" 470.689687269926 -0.530878577053734 0.46357190815533 -1.14519143139245 0.252129867057659 0.86534688978597
"AARD" 31.8220570423869 1.4745492487367 1.25694641183846 1.17312021805287 0.240747599821612 0.855979170131083
"AARS1" 1072.55684578128 0.54269655714887 0.45774084768851 1.18559783311751 0.235781158401897 0.85021896994249
"AARS1P1" 0 NA NA NA NA NA
"AARS2" 290.277318550338 0.0389938345676969 0.701443591924114 0.055590834411551 0.955667766294935 0.999333640143859
"AARSD1" 156.568992679972 0.125358143845373 0.724812854932743 0.172952429019772 0.862688820161043 0.999333640143859
"AARSD1P1" 67.3859518321295 -0.117951258895935 1.32706444362958 -0.0888813346346116 0.929176217638286 0.999333640143859
"AASDH" 240.643579145885 1.67979521980167 0.842712153639551 1.99332027258284 0.0462263879041138 0.454266679488807
"AASDHPPT" 366.996618270101 -0.364611268466781 0.846091234388067 -0.430936113799222 0.666514823683376 0.999333640143859
"AASS" 1122.95151601852 0.733183901583021 0.589377655081603 1.24399677398952 0.213500750237355 0.824047821421366
"AATF" 834.027531448855 0.837720643355896 0.457214187188795 1.83222801660347 0.0669174564375349 0.5344414306085
"AATK" 267.092394070238 -0.201927704614437 0.76456567424511 -0.264107729939366 0.791696907682273 0.999333640143859
"ABAT" 431.165884289061 -0.204798920520331 0.622099055437236 -0.3292062875363 0.741999770816285 0.999333640143859
"ABCA1" 6231.01180841466 0.360636003259821 0.872213622621564 0.413472105808067 0.679260755230634 0.999333640143859
"ABCA10" 337.548873744709 0.326315096433332 1.28598405386185 0.253747389365675 0.799690720498404 0.999333640143859
"ABCA11P" 40.5386294164678 -1.03528692802388 1.56036125881817 -0.66349181779097 0.507015618097818 0.984598199432935
"ABCA12" 16.8278675758031 2.05058501795009 2.19947889944562 0.932304928438703 0.351178961441967 NA
"ABCA13" 75.4465349778687 0.0712325753567784 1.37572083091507 0.0517783650258443 0.958705294630725 0.999333640143859
"ABCA17P" 31.2050094267109 0.663497433317284 1.84082632637775 0.360434563440251 0.71852218323495 0.999333640143859
"ABCA2" 760.266976418694 0.068879468950199 0.85984426865079 0.0801069117530784 0.93615222563274 0.999333640143859
"ABCA3" 504.955404045461 -0.557264064423553 1.03089993536535 -0.540560771522464 0.588810362768338 0.998095225096172
"ABCA4" 15.1133452138087 -2.6549640472999 2.64946431159102 -1.00207579157976 0.316306988907395 NA
"ABCA5" 984.957091741488 0.545425321849884 1.24427132522164 0.438349185418002 0.661133176201871 0.999333640143859
"ABCA6" 2251.26809950074 1.03857522685051 0.640237116913033 1.62217278476153 0.104766357187924 0.642199612974353
"ABCA7" 322.500166551538 -0.904526813698322 0.766188717694973 -1.18055355398541 0.237780123865937 0.852802369441122
"ABCA8" 1649.14756608166 -0.0835563499380449 1.04614603378259 -0.0798706368325338 0.9363401436121 0.999333640143859
"ABCA9" 887.995329456126 1.15519731646082 0.643017996368507 1.79652408328365 0.0724112060279365 0.551280195498119
"ABCB1" 125.055990645051 1.4744934370141 1.08856402808894 1.35453073863068 0.175567113485317 0.780230005767635
"ABCB10" 331.582566173385 -0.588595924485268 0.5878930261168 -1.00119562290628 0.316732242281634 0.913667013165386
"ABCB10P1" 0 NA NA NA NA NA
"ABCB10P3" 0 NA NA NA NA NA
"ABCB10P4" 0 NA NA NA NA NA
"ABCB11" 28.8392212275074 -0.0641612299250445 1.28477022030279 -0.0499398483177195 0.960170322538764 0.999333640143859
"ABCB4" 141.192907420613 2.1963884014581 1.01013125999602 2.17435940104136 0.0296781545801774 0.36567574209102
"ABCB5" 48.9471516807252 0.274037073245425 0.903073230241499 0.303449448027755 0.761547366875542 0.999333640143859
"ABCB6" 55.6970347548657 -3.02721905416478 1.3719732477303 -2.20647090544426 0.0273510451836144 0.349975739446249
"ABCB7" 469.010491939348 1.18534384422066 0.558989892807626 2.12051033385785 0.0339630309860143 0.390347763264221
"ABCB8" 219.609125883705 -2.99753158947798 0.890770304352121 -3.36510049204902 0.000765157855606494 0.0376974268351352
"ABCB9" 217.237532572489 0.375853790491526 0.53580930301666 0.7014693257012 0.483010171046578 0.982042343489579
"ABCC1" 1215.18242826938 -0.151437676098117 0.682121945363967 -0.222009681886591 0.824306346345482 0.999333640143859
"ABCC10" 292.362462379383 -1.91382288239556 0.745237804594721 -2.56807004501919 0.0102266489234614 0.205462673825907
"ABCC11" 30.2206752988314 0.0761971828624735 0.99286604441343 0.0767446759723661 0.938826663032198 0.999333640143859
"ABCC12" 27.2090207724582 0.474398463540605 1.53497247010155 0.309059916565943 0.757275949423919 NA
"ABCC13" 47.9931533789674 -0.136419238829547 1.70564521077296 -0.0799810171352838 0.936252353728 0.999333640143859
"ABCC2" 104.663955974142 0.786232075802019 1.08908600231309 0.721919181893949 0.470344167182077 0.978090034418468
"ABCC3" 655.076204669918 -1.63283396532278 1.25387519145258 -1.30223005962115 0.192837752296346 0.802134615773255
"ABCC4" 588.77387164738 0.405774110670742 0.738390013640016 0.549539001306926 0.582635606992099 0.998095225096172
"ABCC5" 964.531715776631 0.152342951863346 1.34797603376488 0.113016068570488 NA NA
"ABCC6" 189.180544421849 0.21575420643043 0.741134377422085 0.291113478207415 0.770964532020314 0.999333640143859
"ABCC6P1" 3.63188894950565 -3.13343324535712 4.26207640861958 -0.73518936427796 0.4622241754781 NA
"ABCC6P2" 3.45921845179291 -5.39204682500196 4.51311846423993 -1.19474967646569 0.232184847266775 NA
"ABCC8" 207.410930349633 0.165127100630419 1.05802124542954 0.156071630266158 0.875976560073283 0.999333640143859
"ABCC9" 5193.07328067363 0.218200319122891 0.737659861950925 0.295800721142406 0.767382272238142 0.999333640143859
"ABCD1" 233.209866561523 1.88713282013543 1.81599341660485 1.03917382237188 0.298723902743502 0.899602642678992
"ABCD1P2" 0.0545286604570287 -1.36451660003654 5.77037181932766 -0.236469441269996 0.813068417270621 NA
"ABCD1P3" 0 NA NA NA NA NA
"ABCD1P4" 0 NA NA NA NA NA
"ABCD1P5" 0.0509467409566199 -2.32629428088941 5.77037181931721 -0.403144607268075 0.686841846726554 NA
"ABCD2" 211.51336981268 -0.186772153434322 1.06735372954778 -0.174986181491542 0.861090491629248 0.999333640143859
"ABCD3" 616.104612955904 1.81711312226164 0.532108023304923 3.41493276304227 0.000637977578258979 0.0335333281851342
"ABCD4" 618.118915785751 1.28905469291225 0.907231465250926 1.42086638557638 0.155355606850377 0.744302024767835
"ABCE1" 870.111334307022 -0.293786004334237 0.597176467250006 -0.491958441844033 0.622748722556988 0.998095225096172
"ABCF1" 620.719747350418 0.694366194082584 0.766974921133552 0.905331028368364 0.365290043076048 0.940610091818621
"ABCF2" 305.931719517061 -0.196891468688912 0.72672486008389 -0.27092986562505 0.786444974329135 0.999333640143859
"ABCF2-H2BE1" 68.2370704834817 1.35448021032512 1.3266001018157 1.02101621164604 0.307246758020027 0.908130853801485
"ABCF2P1" 0.222181790448024 0.518257524307264 5.69516543810625 0.0909995556651633 0.92749294412057 NA
"ABCF2P2" 0 NA NA NA NA NA
"ABCF3" 264.243615807367 -1.22051684032174 0.625392004925205 -1.95160288380679 0.0509853706055509 0.473151579644794
"ABCG1" 886.733409096482 0.232321131655275 0.663077534711972 0.350367972813603 0.72606255894493 0.999333640143859
"ABCG2" 52.0600261941308 -0.297777294030806 0.849985283520053 -0.350332293751743 0.726089332109224 0.999333640143859
"ABCG4" 1.52011474910187 3.29150233100355 5.65566992642487 0.581982748962193 0.560578300831368 NA
"ABCG5" 20.7821164002423 -0.371044162812875 1.72667404096743 -0.214889524026772 0.829853452719717 NA
"ABCG8" 168.297096438499 0.394210099229087 0.884719042345578 0.445576595914508 0.655903119557198 0.999333640143859
"ABHD1" 51.9167468442008 0.284227610767473 1.13741287290521 0.249889567401758 0.802672751342471 0.999333640143859
"ABHD10" 307.902870851111 0.466187363730208 0.737332323622726 0.632262209039874 0.527215553339241 0.988818457593396
"ABHD11" 115.497335074044 -1.4280265112622 0.850615503223013 -1.67881552340787 0.0931880022630602 0.611084941728466
"ABHD11-AS1" 6.88920011823394 -5.24147306211024 2.69806691542944 -1.94267719311772 0.0520551735434245 NA
"ABHD12" 597.437604560524 -0.539420058405731 0.691958754897367 -0.779555218555966 0.435652723413922 0.967075280702162
"ABHD12B" 175.47885193455 -0.0404432631545186 0.752345381674321 -0.0537562456547728 0.957129369991482 0.999333640143859
"ABHD13" 465.598485705559 -0.101716819958025 0.858926293275513 -0.118423222987071 0.905732325964481 0.999333640143859
"ABHD14A" 83.5890906743852 -1.52359509210947 0.881683366022433 -1.72805244016672 0.0839788231133725 0.586642091221899
"ABHD14A-ACY1" 11.2224717143902 15.9511191563171 4.13316830203576 3.85929582118891 0.000113714219810056 NA
"ABHD14B" 223.488272789303 0.934459686421667 0.811464269776118 1.15157219020806 0.249496914601744 0.863114678270043
"ABHD15" 243.66506125706 2.57523194837369 1.33755519246747 1.92532761479772 0.0541883849964506 0.486281565821368
"ABHD16A" 132.735337856435 -3.04144973239481 0.802384478406024 -3.79051416652127 0.000150335757487133 0.0116668514191484
"ABHD16B" 33.9379612385922 -0.835786686529521 1.38260615944386 -0.604500913597628 0.54551066199451 0.992158851249486
"ABHD17A" 1129.01729736598 -0.162539275352675 0.693025644639015 -0.234535729824744 0.814569098189743 0.999333640143859
"ABHD17AP1" 4.92330597715906 1.55167289359184 3.80078575074913 0.408250555371611 0.683089735665984 NA
"ABHD17AP3" 0.665042940457317 -1.13550454987424 5.48937306943352 -0.206855051662834 0.836123060803969 NA
"ABHD17AP4" 0 NA NA NA NA NA
"ABHD17AP5" 0.282811173834916 0.864705040781257 5.68531500134331 0.152094482113471 0.879112416213353 NA
"ABHD17AP6" 0 NA NA NA NA NA
"ABHD17AP7" 0 NA NA NA NA NA
"ABHD17AP8" 0 NA NA NA NA NA
"ABHD17AP9" 0 NA NA NA NA NA
"ABHD17B" 235.223122174285 0.265989770158954 0.887997837194533 0.29953875901241 0.764529003337362 0.999333640143859
